horse_name,best_last3f,avg_last3f,running_style,passing_pattern,best_weight,weight_trend,sire,dam_sire,sire_turf2200_winrate,sire_hanshin_winrate,sire_heavy_winrate,head2head_wins,head2head_total,trainer,trainer_g1_wins,rest_days,rest_performance,speed_figure,owner,coat_color,english_name,total_prize,netkeiba_id
ゴールドハイアー,0,0,senko,,,,Henny Hughes,Harbinger,0,0,0.08,0,0,松島壽,0,20,ok,74,,,,, 2018102195
サンノーブル,0,0,senko,,,,ダイワメジャー,ブラックタイド,0,0,0.1,0,0,山田徹,0,16,good,85,,,,,2021100831
テイエムタリスマ,0,0,nige,,,,Talismanic,Zafonic,0,0,0.05,0,0,平山宏秀,0,23,ok,95,,,,,2021109043
ミステリオーソ,0,0,senko,,,,Pyro,Kris S.,0,0,0.05,0,0,渡辺博文,0,16,ok,76,,,,,2017106704
ヴィクラント,0,0,sashi,,,,ディープインパクト,パークリージェント,0,0,0.06,0,0,山田義人,0,16,poor,70,,,,,2020101359
ジャックメモリアム,0,0,senko,,,,ボックスプレシウス,サンデーサイレンス,0,0,0.09,0,0,山田徹,0,16,ok,78,,,,,2019102579
トルーマンテソーロ,0,0,senko,,,,トルマンジゴロー,ダンサーチャーマー,0,0,0.07,0,0,東眞市,0,14,ok,88,,,,,2019102082
エスシーアルベル,0,0,sashi,,,,Majestic Warrior,Came Home,0,0,0.06,0,0,大島静夫,0,16,ok,72,,,,,2021100842
レディオガガ,0,0,senko,,,,フェリオーダ,サンデーサイレンス,0,0,0.09,0,0,山田徹,0,35,ok,90,,,,,2019105003
テイエムフォンテ,0,0,senko,,,,Drefong,Ghostzapper,0,0,0.08,0,0,平山宏秀,0,20,ok,82,,,,,2019100569
