horse_name,race_date,venue,race_name,grade,distance,surface,track_condition,field_size,finish_position,finish_time,last_3f,jockey_name,horse_weight,popularity,sire
ゴールドハイアー,2026/06/21,佐賀,宮崎(1400m),A2,1400,ダート,良,,7,,,,,,Henny Hughes
ゴールドハイアー,2026/06/06,佐賀,群分類(A1),A1,1300,ダート,良,,8,,,,,,Henny Hughes
ゴールドハイアー,2026/05/24,佐賀,競走スプリング,A2,900,ダート,良,,9,,,,,,Henny Hughes
サンノーブル,2026/06/25,佐賀,ウエスタンデリーム,A1,1400,ダート,良,,1,,,,,,ダイワメジャー
サンノーブル,2026/06/06,佐賀,ディスステーション,A1,1400,ダート,良,,4,,,,,,ダイワメジャー
サンノーブル,2026/05/23,佐賀,大海賊譚,A1,1400,ダート,良,,2,,,,,,ダイワメジャー
テイエムタリスマ,2026/06/18,栃木,館林FC競争,A1,820,ダート,良,,5,,,,,,Talismanic
テイエムタリスマ,2026/05/24,栃木,スプリングカップ,A1,900,ダート,良,,2,,,,,,Talismanic
テイエムタリスマ,2026/05/09,栃木,スプリング,A1,1400,ダート,良,,4,,,,,,Talismanic
ミステリオーソ,2026/06/25,盛岡,ロストロブラダース,A1,1400,ダート,良,,4,,,,,,Pyro
ミステリオーソ,2026/05/16,盛岡,いわてレディース,A1,1400,ダート,良,,7,,,,,,Pyro
ミステリオーソ,2026/05/02,盛岡,C1組,C1,1300,ダート,良,,4,,,,,,Pyro
ヴィクラント,2026/06/25,佐賀,ビストロブリティッシュ,A1,1400,ダート,良,,8,,,,,,ディープインパクト
ヴィクラント,2026/06/06,佐賀,岩分線(A1),A1,1300,ダート,良,,4,,,,,,ディープインパクト
ヴィクラント,2026/05/24,佐賀,エイレーススプリング,A2,900,ダート,良,,6,,,,,,ディープインパクト
ジャックメモリアム,2026/06/25,盛岡,ウインストレーチャー,A1,1400,ダート,良,,6,,,,,,ボックスプレシウス
ジャックメモリアム,2026/06/06,盛岡,盛岡ポニー,A1,1300,ダート,良,,6,,,,,,ボックスプレシウス
ジャックメモリアム,2026/05/24,盛岡,プレスプリングカップ,A2,900,ダート,良,,2,,,,,,ボックスプレシウス
トルーマンテソーロ,2026/06/27,佐賀,梅ヶ谷賞,A1,1800,ダート,良,,6,,,,,,トルマンジゴロー
トルーマンテソーロ,2026/06/06,佐賀,地方分級(A1),A1,1300,ダート,良,,1,,,,,,トルマンジゴロー
トルーマンテソーロ,2026/04/05,佐賀,久留米エース賞,A1,1800,ダート,良,,15,,,,,,トルマンジゴロー
エスシーアルベル,2026/06/25,佐賀,ユートピアブリーダー,A1,1400,ダート,良,,2,,,,,,Majestic Warrior
エスシーアルベル,2026/06/06,佐賀,距分戦(A1),A1,1300,ダート,良,,8,,,,,,Majestic Warrior
エスシーアルベル,2026/05/23,佐賀,準優勝戦,A1,1400,ダート,良,,2,,,,,,Majestic Warrior
レディオガガ,2026/06/06,佐賀,甲ナ分混(A1),A1,1300,ダート,良,,2,,,,,,フェリオーダ
レディオガガ,2026/05/23,佐賀,楠賀ナ(A1),A1,1400,ダート,良,,1,,,,,,フェリオーダ
レディオガガ,2026/04/26,佐賀,馬ゴ(A1),A1,1400,ダート,良,,3,,,,,,フェリオーダ
テイエムフォンテ,2026/06/21,佐賀,宮崎(1400m),A2,1400,ダート,良,,5,,,,,,Drefong
テイエムフォンテ,2026/06/06,佐賀,コンステレーション,A1,1400,ダート,良,,6,,,,,,Drefong
テイエムフォンテ,2026/04/25,佐賀,ブルーベル,A1,1300,ダート,良,,4,,,,,,Drefong
