gate_number,post_position,horse_name,sex,age,weight_carried,jockey_name,trainer_name,horse_weight,sire,dam_sire,prev_race,prev_finish,prev_distance,days_since_last,field_size
1,1,ダノンデサイル,牡,5,58.0,戸崎圭太,,,エピファネイア,,大阪杯,3,2000,,18
2,1,ミュージアムマイル,牡,4,58.0,D.レーン,,,キタサンブラック,,有馬記念,1,2500,,18
3,2,シュガークン,牡,5,58.0,吉村誠之助,,,キズナ,,天皇賞春,8,3200,,18
4,2,ミクニインスパイア,牡,4,58.0,丹内祐次,,,ジャスタウェイ,,鳴尾記念,2,2000,,18
5,3,クロワデュノール,牡,4,58.0,北村友一,,,キタサンブラック,,天皇賞春,1,3200,,18
6,3,ビザンチンドリーム,牡,5,58.0,西村淳也,,,スワーヴリチャード,,天皇賞春,5,3200,,18
7,4,ファミリータイム,牡,5,58.0,幸英明,,,キズナ,,,,,18
8,4,タガノデュード,牡,5,58.0,高杉吏麒,,,ドレフォン,,天皇賞春,6,3200,,18
9,5,コスモキュランダ,牡,5,58.0,横山武史,,,アルアイン,,天皇賞春,4,3200,,18
10,5,ジューンテイク,牡,5,58.0,松山弘平,,,キズナ,,目黒記念,2,2500,,18
11,6,シンエンペラー,牡,5,58.0,坂井瑠星,,,シユーニ,,大阪杯,5,2000,,18
12,6,マイネルエンペラー,牡,6,58.0,川田将雅,,,シュヴァルグラン,,鳴尾記念,3,2000,,18
13,7,シェイクユアハート,牡,6,58.0,古川吉洋,,,ディスクリートキャット,,鳴尾記念,1,2000,,18
14,7,スティンガーグラス,牡,5,58.0,岩田望来,,,モーリス,,目黒記念,3,2500,,18
15,7,マイユニバース,牡,4,58.0,横山典弘,,,エピファネイア,,京都記念,1,2200,,18
16,8,メイショウタバル,牡,5,58.0,武豊,,,ゴールドシップ,,鳴尾記念,4,2000,,18
17,8,レガレイラ,牝,5,56.0,C.ルメール,,,スワーヴリチャード,,有馬記念,4,2500,,18
18,8,ミステリーウェイ,セ,8,58.0,松本大輝,,,エイシンフラッシュ,,,,,18
