horse_name,best_last3f,avg_last3f,running_style,passing_pattern,best_weight,weight_trend,sire,dam_sire,sire_turf2200_winrate,sire_hanshin_winrate,sire_heavy_winrate,head2head_wins,head2head_total,trainer,trainer_g1_wins,rest_days,rest_performance,speed_figure,owner,coat_color,english_name,total_prize,netkeiba_id
クロワデュノール,33.2,34.0,senko,3-3-2-1,514,stable,キタサンブラック,ルーラーシップ,0.18,0.15,0.12,8,12,武幸四郎,4,42,good,115,キャロットファーム,黒鹿毛,Croix du Nord,121387,2022105102.0
ミュージアムマイル,33.5,34.2,sashi,8-8-6-3,490,stable,キタサンブラック,ディープインパクト,0.18,0.15,0.12,4,8,高柳大輔,2,168,ok,112,サンデーレーシング,鹿毛,Museum Mile,62000,2022105081.0
メイショウタバル,35.8,36.2,nige,1-1-1-1,502,increasing,ゴールドシップ,ディープインパクト,0.2,0.18,0.22,4,10,石橋守,1,14,good,108,松本好雄,栗毛,Meisho Tabaru,48000,2021103272.0
レガレイラ,33.8,34.5,sashi,7-7-5-2,480,stable,スワーヴリチャード,Galileo,0.14,0.12,0.1,5,10,木村哲也,3,168,ok,111,キャロットファーム,鹿毛,Regaleira,58000,2021105898.0
ダノンデサイル,33.6,34.3,senko,5-5-4-2,516,stable,エピファネイア,オルフェーヴル,0.16,0.14,0.1,5,12,堀宣行,5,70,good,110,ダノックス,黒鹿毛,Danon Decile,72000,2021105143.0
タガノデュード,34.2,35.0,sashi,10-10-8-5,498,stable,ドレフォン,キングカメハメハ,0.12,0.1,0.08,0,5,斉藤崇史,0,42,good,103,タガノエンタープライズ,鹿毛,Tagano Dude,18000,2021106548
シンエンペラー,33.4,34.1,senko,4-4-3-2,504,stable,シユーニ,Galileo,0.15,0.13,0.08,3,8,矢作芳人,3,42,good,109,キーファーズ,鹿毛,Shin Emperor,42000,2021110048.0
ジューンテイク,34.5,35.0,sashi,8-8-7-4,486,stable,キズナ,ハーツクライ,0.17,0.15,0.14,1,5,池添学,1,20,good,102,大塚亮一,青毛,June Take,20000,2021100913.0
マイユニバース,33.8,34.6,senko,4-4-3-2,478,stable,エピファネイア,ディープインパクト,0.16,0.14,0.1,0,4,中竹和也,0,119,ok,105,サンデーレーシング,鹿毛,My Universe,15000,2022104902.0
コスモキュランダ,34.0,34.8,senko,5-5-4-3,500,stable,アルアイン,ハーツクライ,0.14,0.12,0.1,2,8,加藤征弘,0,42,good,106,ビッグレッドファーム,黒鹿毛,Cosmo Kuranda,32000,2021106787.0
ビザンチンドリーム,33.5,34.4,oikomi,12-12-10-5,496,stable,スワーヴリチャード,ディープインパクト,0.14,0.12,0.1,1,6,坂口智康,1,42,good,107,吉田和美,栗毛,Byzantine Dream,28000,2021105587.0
マイネルエンペラー,34.5,35.2,senko,5-5-4-3,510,increasing,シュヴァルグラン,ディープインパクト,0.13,0.11,0.09,0,3,手塚貴久,1,9,good,101,サラブレッドクラブ・ラフィアン,鹿毛,Meiner Emperor,22000,2020105786.0
スティンガーグラス,34.0,34.8,sashi,9-9-7-4,492,stable,モーリス,ディープインパクト,0.15,0.13,0.11,0,3,国枝栄,0,15,good,100,サンデーレーシング,黒鹿毛,Stinger Grass,12000,2021105829
シュガークン,34.8,35.5,senko,3-3-3-2,496,decreasing,キズナ,Kingmambo,0.17,0.15,0.14,0,2,清水久詞,1,42,ok,104,大野商事,鹿毛,Sugar Kun,35000,2021102224.0
ミクニインスパイア,34.2,35.0,sashi,8-8-6-3,470,stable,ジャスタウェイ,ディープインパクト,0.14,0.12,0.09,0,2,高木登,0,9,good,99,三国牧場,栗毛,Mikuni Inspire,8000,2022106120
シェイクユアハート,34.8,35.5,nige,1-1-1-1,520,stable,ディスクリートキャット,マンハッタンカフェ,0.1,0.1,0.08,0,4,西村真幸,0,9,good,98,宮田直之,栗毛,Shake Your Heart,10000,2020103101
ファミリータイム,35.0,35.8,sashi,10-10-8-6,488,decreasing,キズナ,ディープインパクト,0.17,0.15,0.14,0,3,友道康夫,2,42,poor,96,社台レースホース,鹿毛,Family Time,6000,2021100651.0
ミステリーウェイ,35.5,36.0,nige,1-1-1-1,478,stable,エイシンフラッシュ,サンデーサイレンス,0.11,0.09,0.08,0,3,高柳瑞樹,0,15,ok,94,吉田千津,芦毛,Mystery Way,9000,2018104638.0
