horse_name,mention_count,honmei_count,taikou_count,articles_mentioned,mention_rate,news_score
クロワデュノール,25,6,3,10,0.83,44.5
ミュージアムマイル,18,3,4,8,0.67,36.0
メイショウタバル,20,3,3,9,0.75,34.0
レガレイラ,15,2,3,7,0.58,26.5
ダノンデサイル,14,2,2,7,0.58,23.0
タガノデュード,8,2,0,5,0.42,14.0
シンエンペラー,6,0,2,4,0.33,9.0
コスモキュランダ,5,0,1,3,0.25,5.5
ジューンテイク,4,1,0,3,0.25,7.0
マイユニバース,4,0,1,3,0.25,5.0
ビザンチンドリーム,3,0,0,2,0.17,1.5
シェイクユアハート,2,0,0,2,0.17,1.0
ミクニインスパイア,2,0,0,1,0.08,1.0
スティンガーグラス,1,0,0,1,0.08,0.5
シュガークン,1,0,0,1,0.08,0.5
マイネルエンペラー,1,0,0,1,0.08,0.5
ファミリータイム,0,0,0,0,0.00,0.0
ミステリーウェイ,0,0,0,0,0.00,0.0
