gate_number,horse_name,win_odds,popularity,fetched_at,estimated
5,クロワデュノール,3.3,1,2026-06-14 11:57,True
2,ミュージアムマイル,5.2,2,2026-06-14 11:57,True
16,メイショウタバル,5.2,3,2026-06-14 11:57,True
17,レガレイラ,7.1,4,2026-06-14 11:57,True
1,ダノンデサイル,8.4,5,2026-06-14 11:57,True
8,タガノデュード,12.6,6,2026-06-14 11:57,True
10,ジューンテイク,19.3,7,2026-06-14 11:57,True
11,シンエンペラー,19.6,8,2026-06-14 11:57,True
9,コスモキュランダ,28.4,9,2026-06-14 11:57,True
15,マイユニバース,37.1,10,2026-06-14 11:57,True
3,シュガークン,80.0,11,2026-06-14 11:57,True
4,ミクニインスパイア,80.0,12,2026-06-14 11:57,True
6,ビザンチンドリーム,80.0,13,2026-06-14 11:57,True
7,ファミリータイム,80.0,14,2026-06-14 11:57,True
12,マイネルエンペラー,80.0,15,2026-06-14 11:57,True
13,シェイクユアハート,80.0,16,2026-06-14 11:57,True
14,スティンガーグラス,80.0,17,2026-06-14 11:57,True
18,ミステリーウェイ,80.0,18,2026-06-14 11:57,True
