horse_name,race_date,venue,race_name,grade,distance,surface,track_condition,field_size,finish_position,finish_time,last_3f,jockey_name,horse_weight,popularity,sire
フィンガー,2026/04/29,大井,羽田盃,JpnI,1800,ダート,稍重,14,1,1:52.7,,戸崎圭太,554,2,Gun Runner
フィンガー,2026/01/21,船橋,ブルーバードC,G3,1800,ダート,良,12,1,,,戸崎圭太,,,Gun Runner
フィンガー,2026/01/04,中山,3歳未勝利,,1800,ダート,良,16,1,,,戸崎圭太,,,Gun Runner
ロックターミガン,2026/04/29,大井,羽田盃,JpnI,1800,ダート,稍重,14,2,,,西村淳也,,,ドレフォン
ロックターミガン,2026/03/08,中山,ヒヤシンスS,OP,1800,ダート,良,16,1,,,西村淳也,,,ドレフォン
ロックターミガン,2025/12/28,中山,2歳新馬,,1800,ダート,良,14,1,,,西村淳也,,,ドレフォン
ロウリュ,2026/04/29,大井,羽田盃,JpnI,1800,ダート,稍重,14,3,,,吉原寛人,,,ヘニーヒューズ
ロウリュ,2026/03/18,大井,京浜盃,G2,1700,ダート,良,14,2,,,吉原寛人,,,ヘニーヒューズ
ロウリュ,2025/12/31,大井,東京2歳優駿牝馬,G1,1600,ダート,良,14,1,,,吉原寛人,,,ヘニーヒューズ
リアライズグリント,2026/04/29,大井,羽田盃,JpnI,1800,ダート,稍重,14,4,,,坂井瑠星,,,マインドユアビスケッツ
リアライズグリント,2026/02/11,大井,雲取賞,G3,1800,ダート,良,14,1,,,坂井瑠星,,,マインドユアビスケッツ
サンラザール,2026/04/29,大井,羽田盃,JpnI,1800,ダート,稍重,14,5,,,矢野貴之,,,サンダースノー
サンラザール,2026/03/18,大井,京浜盃,G2,1700,ダート,良,14,1,,,矢野貴之,,,サンダースノー
サンラザール,2025/12/31,大井,東京2歳優駿牝馬,G1,1600,ダート,良,14,3,,,矢野貴之,,,サンダースノー
シルバーレシオ,2026/04/29,大井,羽田盃,JpnI,1800,ダート,稍重,14,6,,,岩田望来,,,シルバーステート
シルバーレシオ,2026/03/08,中山,ヒヤシンスS,OP,1800,ダート,良,16,3,,,岩田望来,,,シルバーステート
エンドレスソロウ,2026/04/29,大井,羽田盃,JpnI,1800,ダート,稍重,14,7,,,石川倭,,,エスポワールシチー
デンテブリランテ,2026/03/18,大井,京浜盃,G2,1700,ダート,良,14,3,,,藤田凌,,,ゴールドドリーム
フォースメン,2026/04/06,水沢,スプリングC,G3,1600,ダート,良,10,1,,,笹川翼,,,カレンブラックヒル
シーテープ,2026/03/18,大井,京浜盃,G2,1700,ダート,良,14,5,,,本田重花,,,シニスターミニスター
モコパンチ,2026/04/29,大井,羽田盃,JpnI,1800,ダート,稍重,14,8,,,秋元耕成,,,モーニン
ゴッドフェンサー,2026/04/06,園田,菊水賞,G3,1700,ダート,良,12,1,,,吉村智洋,,,ゴールドドリーム
ミルトイブニング,2026/04/06,園田,菊水賞,G3,1700,ダート,良,12,2,,,廣瀬航,,,ミッキーアイル
コンヨバンコク,2026/03/18,大井,京浜盃,G2,1700,ダート,良,14,4,,,岡村健司,,,キタサンブラック
ロードルーチェ,2026/04/29,大井,羽田盃,JpnI,1800,ダート,稍重,14,9,,,藤本現暉,,,ルヴァンスレーヴ
モエレサワンミヤギ,2026/03/18,大井,京浜盃,G2,1700,ダート,良,14,6,,,本橋孝太,,,サンダースノー
