gate_number,horse_name,win_odds,popularity,fetched_at
10,シルバーレシオ,2.2,1,2026-06-13 15:11
12,フィンガー,2.8,2,2026-06-13 15:11
4,ロックターミガン,5.2,3,2026-06-13 15:11
5,リアライズグリント,7.5,4,2026-06-13 15:11
1,サンラザール,23.6,5,2026-06-13 15:11
9,ゴッドフェンサー,41.4,6,2026-06-13 15:11
6,ロウリュ,48.5,7,2026-06-13 15:11
11,フォースメン,86.8,8,2026-06-13 15:11
7,エンドレスソロウ,165.1,9,2026-06-13 15:11
14,ロードルーチェ,237.9,10,2026-06-13 15:11
3,シーテープ,253.1,11,2026-06-13 15:11
2,モコパンチ,395.7,12,2026-06-13 15:11
8,ミルトイブニング,559.9,13,2026-06-13 15:11
15,モエレサワンミヤギ,605.9,14,2026-06-13 15:11
16,デンテブリランテ,721.2,15,2026-06-13 15:11
13,コンヨバンコク,763.1,16,2026-06-13 15:11
