horse_name,training_date,training_course,training_condition,training_time,last_3f_time,last_1f_time,training_eval,training_intensity
フィンガー,2026/06/07,美浦ウッド,良,66.6,37.9,11.7,仕上がり良好,4.5
ロックターミガン,2026/06/07,栗東坂路,良,59.1,,13.2,順調,3.5
シルバーレシオ,2026/06/05,栗東坂路,良,55.2,,12.2,好調維持,4.0
リアライズグリント,2026/06/07,栗東CW,良,,,,,3.5
ロウリュ,2026/06/07,大井,良,,,,普通,3.0
サンラザール,2026/06/07,大井,良,,,,普通,3.0
ゴッドフェンサー,2026/06/07,園田,良,,,,良好,4.0
フォースメン,2026/06/07,水沢,良,,,,普通,3.0
シーテープ,2026/06/07,大井,良,,,,普通,3.0
エンドレスソロウ,2026/06/07,大井,良,,,,普通,3.0
モコパンチ,2026/06/07,船橋,良,,,,普通,3.0
ミルトイブニング,2026/06/07,園田,良,,,,普通,3.0
コンヨバンコク,2026/06/07,船橋,良,,,,普通,3.0
ロードルーチェ,2026/06/07,大井,良,,,,普通,3.0
モエレサワンミヤギ,2026/06/07,船橋,良,,,,普通,3.0
デンテブリランテ,2026/06/07,大井,良,,,,普通,3.0
