finish_position,post_position,gate_number,horse_name,horse_id,sex_age,weight_carried,jockey_name,jockey_id,finish_time,margin,passing_order,last_3f,trainer_name,trainer_id,horse_weight,odds,popularity,race_name,distance,surface,track_condition,weather,venue,race_date,grade,race_id,race_year
1,3,5,イクイノックス,2019105219,牡4,58,ルメール,result,2:11.2,,**,**,**,,16-16-13-9,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
2,3,6,スルーセブンシーズ,2018105269,牝5,56,池添謙一,result,2:11.2,クビ,**,**,**,,17-17-16-12,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
3,5,9,ジャスティンパレス,2019105346,牡4,58,鮫島克駿,result,2:11.4,1,**,**,**,,12-13-11-9,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
4,6,11,ジェラルディーナ,2018105081,牝5,56,武豊,result,2:11.4,アタマ,**,**,**,,14-14-6-3,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
5,5,10,ディープボンド,2017102170,牡6,58,和田竜二,result,2:11.6,1,**,**,**,,7-7-8-6,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
6,4,7,プラダリア,2019100109,牡4,58,菱田裕二,result,2:11.6,クビ,**,**,**,,11-10-11-12,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
7,2,4,ボッケリーニ,2016104618,牡7,58,浜中俊,result,2:11.7,クビ,**,**,**,,12-10-13-16,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
8,4,8,ヴェラアズール,2017105082,牡6,58,松山弘平,result,2:11.9,1.1/4,**,**,**,,14-14-16-16,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
9,7,13,ジオグリフ,2019105056,牡4,58,岩田望来,result,2:11.9,ハナ,**,**,**,,7-7-8-6,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
10,8,17,ドゥラエレーデ,2020103626,牡3,53,幸英明,result,2:12.3,2,**,**,**,,2-2-2-2,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
11,6,12,アスクビクターモア,2019104706,牡4,58,横山武史,result,2:12.3,クビ,**,**,**,,4-5-4-3,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
12,7,14,ブレークアップ,2018106273,牡5,58,川田将雅,result,2:12.3,クビ,**,**,**,,3-3-3-3,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
13,2,3,ダノンザキッド,2018104963,牡5,58,北村友一,result,2:12.6,1.1/2,**,**,**,,4-5-6-9,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
14,8,16,モズベッロ,2016100915,牡7,58,角田大河,result,2:12.6,アタマ,**,**,**,,10-10-13-12,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
15,8,15,ユニコーンライオン,2016110103,牡7,58,坂井瑠星,result,2:12.6,ハナ,**,**,**,,1-1-1-1,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
16,1,2,カラテ,2016106606,牡7,58,菅原明良,result,2:12.6,ハナ,**,**,**,,4-3-4-6,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
17,1,1,ライラック,2019103588,牝4,56,Ｍ．デム,result,2:12.7,1/2,**,**,**,,7-7-8-12,**,**,第64回宝塚記念(GI),0,,,,,,,202309030811,2023
1,8,16,クロノジェネシス,2016104750,牝4,56,北村友一,result,2:13.5,,,,,,7-8-7-1,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
2,7,14,キセキ,2014101976,牡6,58,武豊,result,2:14.5,6,,,,,14-13-8-2,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
3,6,12,モズベッロ,2016100915,牡4,58,池添謙一,result,2:15.3,5,,,,,12-11-11-8,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
4,3,5,サートゥルナーリア,2016104505,牡4,58,ルメール,result,2:15.6,1.3/4,,,,,10-10-11-10,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
5,5,10,メイショウテンゲン,2016102192,牡4,58,松山弘平,result,2:15.6,クビ,,,,,16-16-15-14,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
6,6,11,ラッキーライラック,2015105046,牝5,56,Ｍ．デム,result,2:16.0,2.1/2,,,,,5-5-5-2,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
7,3,6,トーセンスーリヤ,2015101105,牡5,58,横山和生,result,2:16.3,2,,,,,1-1-1-2,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
8,1,1,トーセンカンビーナ,2016104990,牡4,58,浜中俊,result,2:16.4,クビ,,,,,16-16-15-15,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
9,7,13,ダンビュライト,2014106010,セ6,58,松若風馬,result,2:16.6,1.1/4,,,,,3-3-3-6,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
10,4,8,レッドジェニアル,2016105292,牡4,58,酒井学,result,2:16.7,3/4,,,,,11-11-11-10,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
11,7,15,スティッフェリオ,2014105517,牡6,58,幸英明,result,2:16.7,ハナ,,,,,9-8-8-10,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
12,8,17,カデナ,2014104449,牡6,58,鮫島克駿,result,2:16.8,クビ,,,,,18-18-18-15,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
13,4,7,ワグネリアン,2015105022,牡5,58,福永祐一,result,2:16.8,クビ,,,,,2-2-2-2,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
14,5,9,アドマイヤアルバ,2015104713,セ5,58,西村淳也,result,2:17.6,5,,,,,13-13-15-17,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
15,1,2,ペルシアンナイト,2014105258,牡6,58,和田竜二,result,2:18.0,2,,,,,3-3-3-6,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
16,8,18,ブラストワンピース,2015104882,牡5,58,川田将雅,result,2:18.0,アタマ,,,,,5-6-5-10,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
17,2,3,グローリーヴェイズ,2015104063,牡5,58,レーン,result,2:18.8,5,,,,,14-13-14-8,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
18,2,4,アフリカンゴールド,2015101654,セ5,58,藤井勘一,result,2:21.8,大,,,,,7-6-8-17,**,,第61回宝塚記念(GI),0,,,,,,,202009030811,2020
1,8,12,リスグラシュー,2014106220,牝5,56,レーン,result,2:10.8,,,,,,2-2-2-2,**,,第60回宝塚記念(GI),0,,,,,,,201909030811,2019
2,1,1,キセキ,2014101976,牡5,58,川田将雅,result,2:11.3,3,,,,,1-1-1-1,**,,第60回宝塚記念(GI),0,,,,,,,201909030811,2019
3,8,11,スワーヴリチャード,2014106083,牡5,58,Ｍ．デム,result,2:11.6,2,,,,,4-4-3-3,**,,第60回宝塚記念(GI),0,,,,,,,201909030811,2019
4,4,4,アルアイン,2014106046,牡5,58,北村友一,result,2:11.9,2,,,,,3-2-3-3,**,,第60回宝塚記念(GI),0,,,,,,,201909030811,2019
5,2,2,レイデオロ,2014106201,牡5,58,ルメール,result,2:12.1,3/4,,,,,6-6-5-5,**,,第60回宝塚記念(GI),0,,,,,,,201909030811,2019
6,7,10,ノーブルマーズ,2013102360,牡6,58,高倉稜,result,2:12.4,1.3/4,,,,,8-8-8-9,**,,第60回宝塚記念(GI),0,,,,,,,201909030811,2019
7,5,6,スティッフェリオ,2014105517,牡5,58,丸山元気,result,2:12.4,クビ,,,,,4-4-5-5,**,,第60回宝塚記念(GI),0,,,,,,,201909030811,2019
8,7,9,クリンチャー,2014100656,牡5,58,三浦皇成,result,2:12.5,3/4,,,,,6-7-5-5,**,,第60回宝塚記念(GI),0,,,,,,,201909030811,2019
9,3,3,エタリオウ,2015104995,牡4,58,横山典弘,result,2:12.6,クビ,,,,,10-10-8-8,**,,第60回宝塚記念(GI),0,,,,,,,201909030811,2019
10,6,8,ショウナンバッハ,2011106394,牡8,58,吉田豊,result,2:12.6,アタマ,,,,,11-11-11-11,**,,第60回宝塚記念(GI),0,,,,,,,201909030811,2019
11,6,7,マカヒキ,2013105788,牡6,58,岩田康誠,result,2:12.9,1.1/2,,,,,12-12-12-11,**,,第60回宝塚記念(GI),0,,,,,,,201909030811,2019
12,5,5,タツゴウゲキ,2012106426,牡7,58,秋山真一,result,2:13.9,6,,,,,9-8-8-9,**,,第60回宝塚記念(GI),0,,,,,,,201909030811,2019
1,2,4,ミッキーロケット,2013106099,牡5,58,和田竜二,result,2:11.6,,,,,,7-5-3-2,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
2,7,13,ワーザー,2011190007,セ7,58,ボウマン,result,2:11.6,クビ,,,,,12-14-13-13,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
3,1,2,ノーブルマーズ,2013102360,牡5,58,高倉稜,result,2:12.1,3,,,,,10-9-7-7,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
4,5,10,ヴィブロス,2013106007,牝5,56,福永祐一,result,2:12.1,クビ,,,,,9-9-11-9,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
5,4,8,ダンビュライト,2014106010,牡4,58,武豊,result,2:12.3,1.1/4,,,,,6-5-5-7,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
6,2,3,サトノダイヤモンド,2013106101,牡5,58,ルメール,result,2:12.4,1/2,,,,,14-9-8-2,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
7,1,1,ステファノス,2011103854,牡7,58,岩田康誠,result,2:12.4,ハナ,,,,,12-12-11-11,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
8,8,16,キセキ,2014101976,牡4,58,Ｍ．デム,result,2:12.5,クビ,,,,,14-15-15-15,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
9,4,7,パフォーマプロミス,2012104503,牡6,58,戸崎圭太,result,2:12.6,3/4,,,,,10-12-13-13,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
10,7,14,スマートレイアー,2010102459,牝8,56,松山弘平,result,2:12.6,アタマ,,,,,3-3-5-4,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
11,3,5,ストロングタイタン,2013110001,牡5,58,川田将雅,result,2:12.8,1,,,,,3-3-3-4,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
12,5,9,サトノクラウン,2012104668,牡6,58,石橋脩,result,2:12.8,クビ,,,,,7-8-8-9,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
13,3,6,アルバート,2011104019,牡7,58,藤岡康太,result,2:13.4,3.1/2,,,,,16-16-15-15,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
14,8,15,ゼーヴィント,2013105904,牡5,58,池添謙一,result,2:14.6,7,,,,,3-5-8-11,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
15,6,12,タツゴウゲキ,2012106426,牡6,58,秋山真一,result,2:14.6,クビ,,,,,2-2-2-4,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
16,6,11,サイモンラムセス,2010101161,牡8,58,小牧太,result,2:15.8,7,,,,,1-1-1-1,**,,第59回宝塚記念(GI),0,,,,,,,201809030811,2018
1,8,11,サトノクラウン,2012104668,牡5,58,Ｍ．デム,result,2:11.4,,,,,,7-6-6-6,**,,第58回宝塚記念(GI),0,,,,,,,201709030811,2017
2,2,2,ゴールドアクター,2011105266,牡6,58,横山典弘,result,2:11.5,3/4,,,,,6-6-6-9,**,,第58回宝塚記念(GI),0,,,,,,,201709030811,2017
3,7,8,ミッキークイーン,2012104870,牝5,56,浜中俊,result,2:11.7,1.1/2,,,,,9-9-9-9,**,,第58回宝塚記念(GI),0,,,,,,,201709030811,2017
4,6,6,シャケトラ,2013105880,牡4,58,ルメール,result,2:12.0,1.3/4,,,,,2-2-2-2,**,,第58回宝塚記念(GI),0,,,,,,,201709030811,2017
5,6,7,レインボーライン,2013106183,牡4,58,岩田康誠,result,2:12.3,1.3/4,,,,,10-9-10-6,**,,第58回宝塚記念(GI),0,,,,,,,201709030811,2017
6,1,1,ミッキーロケット,2013106099,牡4,58,和田竜二,result,2:12.3,アタマ,,,,,3-4-4-6,**,,第58回宝塚記念(GI),0,,,,,,,201709030811,2017
7,3,3,スピリッツミノル,2012103484,牡5,58,幸英明,result,2:12.6,1.3/4,,,,,7-6-6-5,**,,第58回宝塚記念(GI),0,,,,,,,201709030811,2017
8,5,5,シュヴァルグラン,2012104759,牡5,58,福永祐一,result,2:12.6,ハナ,,,,,1-1-1-1,**,,第58回宝塚記念(GI),0,,,,,,,201709030811,2017
9,8,10,キタサンブラック,2012102013,牡5,58,武豊,result,2:12.7,1/2,,,,,3-3-2-2,**,,第58回宝塚記念(GI),0,,,,,,,201709030811,2017
10,4,4,クラリティシチー,2011106372,牡6,58,松山弘平,result,2:12.9,1.1/4,,,,,3-4-4-2,**,,第58回宝塚記念(GI),0,,,,,,,201709030811,2017
11,7,9,ヒットザターゲット,2008104835,牡9,58,川田将雅,result,2:13.2,1.3/4,,,,,10-11-11-11,**,,第58回宝塚記念(GI),0,,,,,,,201709030811,2017
1,8,16,マリアライト,2011103832,牝5,56,蛯名正義,result,2:12.8,,,,,,11-11-10-6,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
2,5,9,ドゥラメンテ,2012104511,牡4,58,Ｍ．デム,result,2:12.8,クビ,,,,,13-13-10-9,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
3,2,3,キタサンブラック,2012102013,牡4,58,武豊,result,2:12.8,ハナ,,,,,1-1-1-1,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
4,4,7,ラブリーデイ,2010104298,牡6,58,ルメール,result,2:13.0,1.1/4,,,,,7-8-5-3,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
5,4,8,ステファノス,2011103854,牡5,58,戸崎圭太,result,2:13.4,2.1/2,,,,,9-10-10-6,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
6,8,15,サトノクラウン,2012104668,牡4,58,岩田康誠,result,2:13.5,3/4,,,,,13-13-14-9,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
7,3,6,ラストインパクト,2010104439,牡6,58,川田将雅,result,2:13.8,1.3/4,,,,,9-9-7-6,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
8,6,12,サトノノブレス,2010103602,牡6,58,和田竜二,result,2:13.9,1/2,,,,,4-5-5-2,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
9,3,5,シュヴァルグラン,2012104759,牡4,58,福永祐一,result,2:14.2,1.3/4,,,,,7-5-7-9,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
10,7,14,ヒットザターゲット,2008104835,牡8,58,小牧太,result,2:14.3,クビ,,,,,15-15-14-17,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
11,5,10,カレンミロティック,2008103192,セ8,58,ベリー,result,2:14.3,アタマ,,,,,4-5-7-13,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
12,7,13,タッチングスピーチ,2012104906,牝4,56,浜中俊,result,2:14.3,クビ,,,,,16-17-17-15,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
13,8,17,ヤマカツエース,2012102774,牡4,58,池添謙一,result,2:14.4,1/2,,,,,16-16-14-13,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
14,2,4,ワンアンドオンリー,2011105072,牡5,58,田辺裕信,result,2:14.8,2.1/2,,,,,2-2-2-3,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
15,6,11,トーホウジャッカル,2011100482,牡5,58,酒井学,result,2:14.9,クビ,,,,,2-3-3-9,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
16,1,2,アンビシャス,2012105400,牡4,58,横山典弘,result,2:14.9,クビ,,,,,4-3-3-3,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
17,1,1,フェイムゲーム,2010104296,牡6,58,柴山雄一,result,2:15.1,1,,,,,11-11-13-15,**,,第57回宝塚記念(GI),0,,,,,,,201609030811,2016
